2018 Advanced Course Completion Report (District)  - All Students,,,,,,,,,,
District Name,District Code,#_11_12_student_all,# _advanced_students_all,%_complete_advanced_all,%_ELA_all,%_math_all,%_science_tech_all,%_history_socialscience_all,%_arts_all,%_other_subjects_all
Ipswich,1440000,235,140,59.6,17.9,54,21.3,27.2,0.4,8
KIPP Academy Lynn Charter (District),4290000,224,179,79.9,58.5,65.6,25.4,8.5,0,9
King Philip,6900000,653,509,77.9,31.4,76,15.3,27.6,2.3,10
Lawrence,1490000,"1,647","1,029",62.5,5.5,46.6,31.2,7.6,1.1,3
Lee,1500000,110,64,58.2,40,43.6,26.4,5.5,0,16
Leicester,1510000,225,143,63.6,25.8,52.4,4.4,20,0,0
Lenox,1520000,113,90,79.6,0,73.5,43.4,0,8.8,20
Leominster,1530000,932,607,65.1,16.6,39.2,27.1,18.8,0.6,34
Lexington,1550000,"1,104",957,86.7,0,83,36.6,44.7,0.7,13
Lincoln-Sudbury,6950000,753,649,86.2,0,85.8,13.9,0,2.4,5
Littleton,1580000,231,227,98.3,65.4,92.6,57.6,66.7,1.3,37
Longmeadow,1590000,462,379,82,21.9,66,65.8,19.5,3.7,15
Lowell,1600000,"1,617","1,145",70.8,14.4,41.3,46.6,22.5,0,3
Lowell Middlesex Academy Charter (District),4580000,54,15,27.8,27.8,0,0,0,0,0
Ludlow,1610000,421,189,44.9,13.1,30.9,19.5,13.1,0,1
Lunenburg,1620000,211,136,64.5,38.9,42.7,17.1,40.3,2.8,6
Lynn,1630000,"1,995","1,105",55.4,11.6,52.4,15.6,14,1.1,8
Lynnfield,1640000,329,298,90.6,36.5,89.1,20.4,45.9,0,14
MATCH Charter Public School (District),4690000,147,111,75.5,40.8,23.1,40.1,37.4,1.4,39
Ma Academy for Math and Science,4680000,96,96,100,47.9,100,36.5,35.4,10.4,32
Malden,1650000,930,505,54.3,11.8,40.8,16.1,22.3,2.2,4
Manchester Essex Regional,6980000,201,163,81.1,19.9,57.7,53.7,46.3,0,15
Mansfield,1670000,635,403,63.5,15,50.2,17.2,23.3,1.4,4
Marblehead,1680000,509,377,74.1,10.6,57.6,40.7,0,0,7
Marlborough,1700000,596,568,95.3,72.3,76.7,52.9,47.3,2.7,34
Marshfield,1710000,672,548,81.5,15,62.9,42.9,27.1,1.8,5
Martha's Vineyard,7000000,301,179,59.5,18.6,51.5,13.3,15,2.3,7
Martha's Vineyard Charter (District),4660000,23,23,100,0,52.2,95.7,0,0,0
Masconomet,7050000,566,484,85.5,7.8,83.2,28.3,29.3,5.1,10
Mashpee,1720000,216,153,70.8,20.4,65.7,25,17.6,5.6,5
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,101,24,23.8,15.8,12.9,1,3,0,0
