"2018 Per Pupil Expenditures, All Funds ",,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Silver Hill Horace Mann Charter (District),04770000,"4,634,462.97",             558.5,"8,298.05","4,634,462.97",             558.5,"8,298.05",
Silver Lake,07600000,"28,801,524.00","           1,854.3","15,532.29","29,649,966.00","           1,929.1","15,369.84",
Sizer School: A North Central Charter Essential (District),04740000,"5,815,691.64",             350.9,"16,574.12","5,815,691.64",             350.9,"16,574.12",
Somerset,02730000,"25,668,012.00","           1,808.1","14,196.12","27,725,358.00","           1,857.0","14,930.19",
Somerset Berkley Regional School District,07630000,"14,580,555.00",             978.2,"14,905.49","16,487,988.00","           1,022.2","16,129.90",
Somerville,02740000,"94,053,742.00","           4,889.4","19,236.25","110,189,660.00","           5,446.3","20,232.02",
South Hadley,02780000,"26,449,119.00","           1,908.7","13,857.14","30,519,906.00","           2,144.9","14,229.06",
South Middlesex Regional Vocational Technical,08290000,"19,143,407.00",             713.1,"26,845.33","19,143,407.00",             713.1,"26,845.33",
South Shore Charter Public (District),04880000,"12,193,477.40",             923.7,"13,200.55","12,193,477.40",             923.7,"13,200.55",
South Shore Regional Vocational Technical,08730000,"13,526,918.00",             639.8,"21,142.42","13,526,918.00",             639.8,"21,142.42",
Southampton,02750000,"6,076,635.00",             514.3,"11,815.35","7,235,061.00",             577.8,"12,521.74",
Southborough,02760000,"23,623,354.00","           1,307.3","18,070.34","25,697,546.00","           1,328.3","19,346.19",
