2018 Advanced Course Completion Report (District)  - Male,,,,,,,,,,,
District Name,District Code,male # Grade 11 and 12 Students,male # Students Completing Advanced,male % Students Completing Advanced,male % ELA,male % Math,male % Science and Technology,male % History and Social Sciences,male % Arts,male % All Other Subjects,male Ch 74 Secondary Cooperative Program
North Brookfield,02150000,          34,          19,  55.9,  26.5,  52.9,   2.9,  14.7,   0.0,   0.0,   0.0
North Middlesex,07350000,         173,          79,  45.7,   0.0,  37.6,  24.9,   8.1,   0.0,   1.0,   0.0
North Reading,02170000,         186,         114,  61.3,  15.1,  50.0,  19.9,  27.4,   0.0,   3.0,   0.0
Northampton,02100000,         204,         162,  79.4,  43.1,  71.6,  26.5,  25.5,   0.0,   2.0,   0.0
Northampton-Smith Vocational Agricultural,04060000,         150,          75,  50.0,  31.3,  44.7,  30.0,  19.3,   0.0,  31.0,  31.3
Northboro-Southboro,07300000,         336,         221,  65.8,  13.7,  55.7,  14.3,  42.3,   3.3,   7.0,   0.0
Northbridge,02140000,         141,          76,  53.9,  11.3,  44.7,  17.0,  21.3,   1.4,   6.0,   0.0
Northeast Metropolitan Regional Vocational Technical,08530000,         310,         245,  79.0,  55.8,  65.2,  45.8,  33.5,   0.0,  40.0,  25.2
Northern Berkshire Regional Vocational Technical,08510000,         141,         141, 100.0,  86.5,  88.7,  83.0,  87.2,   0.0,  60.0,  32.6
Norton,02180000,         206,         106,  51.5,   0.0,  49.0,   7.3,  14.6,   0.5,   0.0,   0.0
Norwell,02190000,         171,         164,  95.9,  10.5,  94.2,  14.0,  44.4,   3.5,   8.0,   0.0
Norwood,02200000,         238,         236,  99.2,  49.6,  93.3,  67.6,  60.5,  13.4,  49.0,   0.0
Old Colony Regional Vocational Technical,08550000,         149,          85,  57.0,  36.2,  57.0,  36.2,  21.5,   0.0,  36.0,  36.2
Old Rochester,07400000,         180,         138,  76.7,  17.2,  73.3,  26.1,  22.8,   0.0,   4.0,   0.0
Oxford,02260000,         111,          47,  42.3,   9.0,  35.1,   5.4,  15.3,   5.4,   0.0,   0.0
Palmer,02270000,          95,          62,  65.3,  15.8,  58.9,  29.5,   9.5,   0.0,   1.0,   0.0
Pathfinder Regional Vocational Technical,08600000,         171,          81,  47.4,  24.6,  43.3,  20.5,  14.6,   0.0,  17.0,  17.0
