2018 Advanced Course Completion Report (District)  - High Needs,,,,,,,,,,,
District Name,District Code,#_11_12_student_highneeds,# _advanced_students_highneeds,%_complete_advanced_highneeds,%_ELA_highneeds,%_math_highneeds,%_science_tech_highneeds,%_history_socialscience_highneeds,%_arts_highneeds,%_other_subjects_highneeds,
Dudley-Charlton Reg,06580000,         136,          50,  36.8,  10.3,  29.4,  22.8,   5.1,   0.7,   7.0,
Duxbury,00820000,          80,          77,  96.3,  77.5,  72.5,  65.0,  50.0,   0.0,  41.0,
East Bridgewater,00830000,          91,          30,  33.0,   6.6,  24.2,   1.1,   0.0,   1.1,   9.0,
East Longmeadow,00870000,         129,          57,  44.2,   3.9,  38.8,  13.2,  12.4,   2.3,   2.0,
Easthampton,00860000,          77,          23,  29.9,  28.6,  16.9,   2.6,   0.0,   0.0,   0.0,
Easton,00880000,         163,          54,  33.1,   0.0,  30.7,  10.4,  14.1,   0.0,   0.0,
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,         122,          91,  74.6,  28.7,  62.3,   8.2,   9.0,   0.0,   0.0,
Essex North Shore Agricultural and Technical School District,08170000,         229,         120,  52.4,  20.1,  46.3,  23.1,  18.8,   0.0,  17.0,
Everett,00930000,         648,         245,  37.8,   6.5,  27.5,   5.1,   8.2,   0.0,   9.0,
Excel Academy Charter (District),04100000,          53,          30,  56.6,  15.1,  47.2,  17.0,   5.7,   3.8,  26.0,
Fairhaven,00940000,          88,          28,  31.8,   5.7,  29.5,   2.3,   3.4,   0.0,   0.0,
Fall River,00950000,         753,         189,  25.1,   3.5,  23.4,   3.5,   2.1,   1.1,   1.0,
Falmouth,00960000,         130,          42,  32.3,   3.8,  31.5,   6.9,  10.8,   2.3,   3.0,
Fitchburg,00970000,         532,         338,  63.5,  22.0,  43.4,  36.3,  35.5,  22.7,  20.0,
Four Rivers Charter Public (District),04130000,          28,          19,  67.9,   0.0,  64.3,   0.0,  10.7,   3.6,   0.0,
Foxborough,00990000,         103,          42,  40.8,   4.9,  35.9,   7.8,  12.6,   1.0,   3.0,
Foxborough Regional Charter (District),04460000,          30,          23,  76.7,  26.7,  66.7,   6.7,  26.7,   0.0,   7.0,
Framingham,01000000,         470,         263,  56.0,   2.8,  28.7,  30.2,   4.5,   0.6,   6.0,
