2018 Advanced Course Completion Report (District)  - White,,,,,,,,,,
District Name,District Code,#_11_12_student_white,# _advanced_students_white,%_complete_advanced_white,%_ELA_white,%_math_white,%_science_tech_white,%_history_socialscience_white,%_arts_white,%_other_subjects_white
Millbury,01860000,         181,         181, 100.0,  87.8,  87.8,  54.1,  61.9,  42.0,  99.0
Millis,01870000,         184,         151,  82.1,  14.7,  77.7,  17.9,  23.4,   6.5,  24.0
Milton,01890000,         320,         243,  75.9,  32.5,  49.1,  30.0,  42.8,   5.0,  22.0
Minuteman Regional Vocational Technical,08300000,         202,         114,  56.4,  11.9,  46.0,  27.2,  18.3,   1.5,   5.0
Mohawk Trail,07170000,         115,          65,  56.5,  22.6,  48.7,   6.1,  13.0,   0.0,   0.0
Monomoy Regional School District,07120000,         185,         103,  55.7,  28.1,  45.4,  18.4,  23.8,   2.2,   6.0
Monson,01910000,         131,          91,  69.5,  54.2,  58.8,  11.5,   4.6,   1.5,   0.0
Montachusett Regional Vocational Technical,08320000,         529,         289,  54.6,  33.5,  51.8,  31.0,  27.0,   3.8,  27.0
Mount Greylock,07150000,         159,         121,  76.1,  24.5,  71.1,  12.6,  49.1,   0.6,   5.0
Mystic Valley Regional Charter (District),04700000,          99,          96,  97.0,  73.7,  89.9,  86.9,  79.8,  10.1,  47.0
Nantucket,01970000,         147,         116,  78.9,  31.3,  73.5,  15.0,  13.6,   0.7,  18.0
Narragansett,07200000,         157,         127,  80.9,  21.7,  76.4,  14.0,  22.9,   0.0,   3.0
Nashoba,07250000,         440,         385,  87.5,   9.1,  86.4,  27.7,  52.5,   1.1,   5.0
Nashoba Valley Regional Vocational Technical,08520000,         307,         205,  66.8,  38.4,  62.5,  23.8,  20.2,   7.8,  17.0
Natick,01980000,         623,         444,  71.3,  12.5,  59.7,  20.5,  48.3,   0.6,  10.0
Nauset,06600000,         394,         272,  69.0,   9.4,  54.6,  39.8,  34.3,  12.9,   1.0
Needham,01990000,         670,         594,  88.7,  29.0,  86.6,  11.9,  36.4,   2.7,   7.0
New Bedford,02010000,         268,         102,  38.1,  14.6,  35.4,   9.7,   5.6,   2.6,   1.0
Newburyport,02040000,         341,         221,  64.8,  23.8,  49.6,  20.5,  21.4,   4.7,   1.0
Newton,02070000,"       1,324",         958,  72.4,  10.2,  58.4,  19.2,  35.3,   0.8,   4.0
Norfolk County Agricultural,09150000,         247,         109,  44.1,   0.0,  44.1,   0.0,   0.0,   0.0,  13.0
