2017-18 Advanced Placement Performance - All Subjects - Female,,,,,,,,,
District Name,District Code,tests_taken_female,score=1_female,score=2_female,score=3_female,score=4_female,score=5_female,%_score_1-2_female,%_score_3-5_female
Sharon,02660000,     329,       7,      19,      66,     108,     129,   7.9,  92.1
Shrewsbury,02710000,     483,       7,      27,      92,     180,     177,   7.0,  93.0
Silver Lake,07600000,     312,      13,      68,     116,      87,      28,  26.0,  74.0
Somerset Berkley Regional School District,07630000,     232,       9,      50,      83,      67,      23,  25.4,  74.6
Somerville,02740000,     283,      48,      83,      76,      46,      30,  46.3,  53.7
South Hadley,02780000,     157,      19,      51,      43,      29,      15,  44.6,  55.4
South Middlesex Regional Vocational Technical,08290000,      36,       6,      20,       7,       3,       0,  72.2,  27.8
South Shore Charter Public (District),04880000,      36,       4,      15,      13,       2,       2,  52.8,  47.2
Southbridge,02770000,      66,      36,      18,       7,       3,       2,  81.8,  18.2
Southeastern Regional Vocational Technical,08720000,     128,      64,      42,      16,       5,       1,  82.8,  17.2
Southern Berkshire,07650000,      26,       5,       6,       8,       5,       2,  42.3,  57.7
Southern Worcester County Regional Vocational Technical,08760000,      60,      17,      24,      13,       2,       4,  68.3,  31.7
Southwick-Tolland-Granville Regional School District,07660000,      84,      17,      34,      19,      10,       4,  60.7,  39.3
Spencer-E Brookfield,07670000,      43,       9,      15,      12,       6,       1,  55.8,  44.2
Springfield,02810000,     632,     309,     159,     117,      34,      13,  74.1,  25.9
Stoneham,02840000,     188,      10,      46,      62,      47,      23,  29.8,  70.2
Stoughton,02850000,     169,      22,      47,      71,      21,       8,  40.8,  59.2
Sutton,02900000,     163,      31,      53,      44,      25,      10,  51.5,  48.5
Swampscott,02910000,     200,       9,      37,      54,      64,      36,  23.0,  77.0
Swansea,02920000,     140,      23,      47,      52,      14,       4,  50.0,  50.0
TEC Connections Academy Commonwealth Virtual School District,39020000,      50,       6,      13,      13,       8,      10,  38.0,  62.0
Tantasqua,07700000,     187,      10,      59,      65,      37,      16,  36.9,  63.1
Taunton,02930000,     377,      98,     123,     100,      42,      14,  58.6,  41.4
Tewksbury,02950000,     183,      15,      40,      54,      37,      37,  30.1,  69.9
