2017-18 Advanced Placement Performance - All Subjects - All Students,,,,,,,,,
District Name,District Code,tests_taken_all,score=1_all,score=2_all,score=3_all,score=4_all,score=5_all,%_score_1-2_all,%_score_3-5_all
Newburyport,02040000,     384,      14,      49,     122,     129,      70,  16.4,  83.6
Newton,02070000,"   2,162",      23,     135,     391,     693,     920,   7.3,  92.7
North Adams,02090000,     279,     150,      81,      24,      18,       6,  82.8,  17.2
North Andover,02110000,     535,      16,      67,     154,     176,     122,  15.5,  84.5
North Attleborough,02120000,     467,      16,      51,     137,     139,     124,  14.3,  85.7
North Brookfield,02150000,      49,       9,      19,      11,       9,       1,  57.1,  42.9
North Middlesex,07350000,     332,      52,     101,     102,      62,      15,  46.1,  53.9
North Reading,02170000,     474,      37,     102,     155,     115,      65,  29.3,  70.7
Northampton,02100000,     589,      60,     104,     146,     142,     137,  27.8,  72.2
Northampton-Smith Vocational Agricultural,04060000,      11,       5,       5,       1,       0,       0,  90.9,   9.1
Northboro-Southboro,07300000,     819,      24,      62,     178,     275,     280,  10.5,  89.5
Northbridge,02140000,     242,      57,      72,      72,      31,      10,  53.3,  46.7
Northeast Metropolitan Regional Vocational Technical,08530000,      29,      16,       8,       3,       1,       1,  82.8,  17.2
Northern Berkshire Regional Vocational Technical,08510000,      31,      17,      11,       3,       0,       0,  90.3,   9.7
Norton,02180000,     319,      27,      75,     106,      72,      39,  32.0,  68.0
Norwell,02190000,     466,      20,      95,     164,     116,      71,  24.7,  75.3
Norwood,02200000,     198,      20,      42,      71,      37,      28,  31.3,  68.7
Old Rochester,07400000,     474,      52,     101,     158,     103,      60,  32.3,  67.7
Oxford,02260000,     186,      53,      70,      39,      18,       6,  66.1,  33.9
Palmer,02270000,     103,      24,      26,      27,      16,      10,  48.5,  51.5
Pathfinder Regional Vocational Technical,08600000,      55,      22,      28,       5,       0,       0,  90.9,   9.1
Peabody,02290000,     495,      68,     161,     142,      86,      38,  46.3,  53.7
Pembroke,02310000,     476,      50,      97,     157,     119,      53,  30.9,  69.1
Pentucket,07450000,     320,      16,      53,     114,      81,      56,  21.6,  78.4
Pioneer Charter School of Science (District),04940000,      79,       2,      20,      23,      19,      15,  27.8,  72.2
Pioneer Charter School of Science II (PCSS-II) (District),35060000,     119,      18,      14,      33,      31,      23,  26.9,  73.1
Pioneer Valley,07500000,      50,      10,      14,      19,       6,       1,  48.0,  52.0
Pioneer Valley Chinese Immersion Charter (District),04970000,       1,,,,,,,
Pioneer Valley Performing Arts Charter Public (District),04790000,       9,,,,,,,
Pittsfield,02360000,     550,     107,     197,     140,      68,      38,  55.3,  44.7
Plymouth,02390000,"   1,102",     234,     345,     261,     184,      78,  52.5,  47.5
Prospect Hill Academy Charter (District),04870000,     220,      60,      63,      44,      35,      18,  55.9,  44.1
Quabbin,07530000,     138,      28,      52,      34,      20,       4,  58.0,  42.0
Quaboag Regional,07780000,     186,      21,      34,      53,      52,      26,  29.6,  70.4
Quincy,02430000,     861,      68,     170,     252,     229,     142,  27.6,  72.4
