2017Staffing Retention Report,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Cape Cod Lighthouse Charter (District),04320000,1,1,100.0,       1,       1,100.0,      28,      27,96.4
Cape Cod Regional Vocational Technical,08150000,1,1,100.0,       1,       1,100.0,      71,      59,83.1
Carlisle,00510000,1,0,0.0,       2,       2,100.0,      58,      54,93.1
Carver,00520000,1,0,0.0,       2,       1,50.0,     131,     120,91.6
Central Berkshire,06350000,1,1,100.0,       5,       3,60.0,     136,     124,91.2
Chelmsford,00560000,1,1,100.0,       9,       7,77.8,     374,     336,89.8
Chelsea,00570000,1,1,100.0,      10,       7,70.0,     425,     338,79.5
Chesterfield-Goshen,06320000,1,1,100.0,       1,       1,100.0,      18,      16,88.9
Chicopee,00610000,1,1,100.0,      15,      15,100.0,     634,     572,90.2
Christa McAuliffe Charter Public (District),04180000,1,1,100.0,       1,       1,100.0,      41,      32,78.0
City on a Hill Charter Public School Circuit Street (District),04370000,1,1,100.0,       1,       1,100.0,      34,      24,70.6
City on a Hill Charter Public School Dudley Square (District),35040000,1,1,100.0,       1,       1,100.0,      28,      19,67.9
City on a Hill Charter Public School New Bedford (District),35070000,1,1,100.0,       1,       1,100.0,      15,       9,60.0
Clarksburg,00630000,1,1,100.0,       1,       1,100.0,      17,      16,94.1
Clinton,00640000,1,1,100.0,       5,       3,60.0,     146,     124,84.9
Codman Academy Charter Public (District),04380000,1,0,0.0,       1,       0,0.0,      33,      17,51.5
Cohasset,00650000,1,0,0.0,       3,       2,66.7,     127,     109,85.8
Collegiate Charter School of Lowell (District),35030000,1,1,100.0,       1,       1,100.0,      29,      17,58.6
Community Charter School of Cambridge (District),04360000,1,1,100.0,       1,       1,100.0,      50,      38,76.0
Community Day Charter Public School - Gateway (District),04260000,1,1,100.0,       3,       3,100.0,      27,      20,74.1
Community Day Charter Public School - Prospect (District),04400000,1,1,100.0,       4,       4,100.0,      42,      28,66.7
Community Day Charter Public School - R. Kingman Webster (District),04310000,1,1,100.0,       3,       2,66.7,      28,      20,71.4
Concord,00670000,1,1,100.0,       4,       3,75.0,     168,     153,91.1
Concord-Carlisle,06400000,1,1,100.0,       1,       0,0.0,     112,      99,88.4
Conservatory Lab Charter (District),04390000,1,0,0.0,       4,       1,25.0,      27,      13,48.1
Conway,00680000,1,0,0.0,       1,       0,0.0,      15,      14,93.3
Danvers,00710000,1,1,100.0,       7,       7,100.0,     272,     245,90.1
Dartmouth,00720000,1,1,100.0,       6,       5,83.3,     282,     250,88.7
Dedham,00730000,1,1,100.0,       7,       5,71.4,     242,     221,91.3
Deerfield,00740000,1,0,0.0,       1,       1,100.0,      40,      35,87.5
Dennis-Yarmouth,06450000,1,1,100.0,       6,       5,83.3,     299,     264,88.3
Dighton-Rehoboth,06500000,1,1,100.0,       5,       5,100.0,     237,     218,92.0
Douglas,00770000,1,1,100.0,       4,       3,75.0,      95,      78,82.1
Dover,00780000,1,1,100.0,       1,       1,100.0,      37,      34,91.9
Dover-Sherborn,06550000,1,1,100.0,       2,       2,100.0,     115,     107,93.0
Dracut,00790000,1,1,100.0,       6,       6,100.0,     221,     190,86.0
Dudley Street Neighborhood Charter School (District),04070000,1,1,100.0,       1,       1,100.0,      19,       8,42.1
Dudley-Charlton Reg,06580000,1,1,100.0,       7,       5,71.4,     276,     255,92.4
Duxbury,00820000,1,1,100.0,       4,       4,100.0,     253,     227,89.7
East Bridgewater,00830000,1,1,100.0,       3,       2,66.7,     141,     122,86.5
East Longmeadow,00870000,1,1,100.0,       5,       5,100.0,     204,     190,93.1
Eastham,00850000,1,1,100.0,       1,       1,100.0,      25,      23,92.0
Easthampton,00860000,1,1,100.0,       4,       4,100.0,     110,      95,86.4
Easton,00880000,1,1,100.0,       6,       6,100.0,     276,     246,89.1
Edgartown,00890000,1,1,100.0,       1,       1,100.0,      49,      41,83.7
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,1,1,100.0,       1,       1,100.0,      30,      25,83.3
Erving,00910000,1,1,100.0,       1,       1,100.0,      18,      16,88.9
Essex North Shore Agricultural and Technical School District,08170000,1,0,0.0,       1,       1,100.0,     119,      99,83.2
Everett,00930000,1,1,100.0,       9,       7,77.8,     532,     448,84.2
Excel Academy Charter (District),04100000,1,1,100.0,       4,       4,100.0,      89,      49,55.1
Fairhaven,00940000,1,1,100.0,       4,       2,50.0,     143,     135,94.4
Fall River,00950000,1,0,0.0,      17,      10,58.8,     724,     569,78.6
Falmouth,00960000,1,1,100.0,       7,       7,100.0,     304,     277,91.1
Farmington River Reg,06620000,1,0,0.0,       1,       1,100.0,      16,      13,81.3
Fitchburg,00970000,1,1,100.0,       8,       7,87.5,     358,     323,90.2
Florida,00980000,1,1,100.0,       1,       1,100.0,      14,      12,85.7
Four Rivers Charter Public (District),04130000,1,1,100.0,       1,       1,100.0,      30,      25,83.3
Foxborough,00990000,1,1,100.0,       5,       4,80.0,     217,     196,90.3
Foxborough Regional Charter (District),04460000,1,1,100.0,       1,       1,100.0,      93,      78,83.9
Framingham,01000000,1,1,100.0,      14,      13,92.9,     731,     646,88.4
Francis W. Parker Charter Essential (District),04780000,1,1,100.0,       1,       1,100.0,      49,      38,77.6
Franklin,01010000,1,1,100.0,      11,       7,63.6,     416,     368,88.5
Franklin County Regional Vocational Technical,08180000,1,1,100.0,       1,       1,100.0,      57,      53,93.0
Freetown-Lakeville,06650000,1,1,100.0,       5,       3,60.0,     195,     177,90.8
Frontier,06700000,1,0,0.0,       1,       1,100.0,      56,      49,87.5
Gardner,01030000,1,1,100.0,       5,       3,60.0,     183,     156,85.2
Gateway,06720000,1,1,100.0,       2,       2,100.0,      85,      73,85.9
