2017-18 Plans of High School Graduates Report (District) ,,,,,,,,,,,,
District Name,District Code,4 Year Private College,4 Year Public College,2 Year Private College,2 Year Public College,Other Post Secondary,Apprenticeship,Work,Military,Other,Unknown,Total Count
Newton,02070000,  53.8,  31.9,   0.3,   4.2,   1.7,   0.0,   1.7,   0.6,   2.1,   3.8,"   1,008"
Norfolk County Agricultural,09150000,  19.7,  43.2,   0.0,  12.1,   0.8,   0.0,  20.5,   3.8,   0.0,   0.0,     132
North Adams,02090000,  21.9,  28.8,   0.0,  11.0,  11.0,   0.0,  20.5,   5.5,   1.4,   0.0,      73
North Andover,02110000,  38.8,  37.0,   0.0,  13.3,   3.7,   0.0,   4.0,   1.1,   0.8,   1.3,     376
North Attleborough,02120000,  37.9,  41.8,   0.0,   9.5,   1.0,   0.0,   5.2,   1.6,   0.3,   2.6,     306
North Brookfield,02150000,  30.0,  13.3,   0.0,  10.0,  20.0,   0.0,  10.0,   3.3,   0.0,  13.3,      30
North Middlesex,07350000,  21.4,  42.9,   0.5,  18.9,   5.1,   0.0,   6.6,   1.5,   1.5,   1.5,     196
North Reading,02170000,  48.4,  36.4,   0.5,   6.5,   2.3,   0.0,   3.7,   0.9,   0.0,   1.4,     217
Northampton,02100000,  49.3,  21.3,   0.5,  13.7,   1.4,   0.5,   1.4,   0.5,   4.7,   6.6,     211
Northampton-Smith Vocational Agricultural,04060000,   0.0,   5.5,   0.0,  23.9,  10.1,   0.0,  53.2,   2.8,   0.9,   3.7,     109
Northboro-Southboro,07300000,  54.9,  34.3,   0.6,   4.9,   0.3,   0.0,   1.7,   0.6,   1.7,   1.1,     350
Northborough,02130000,,,,,,,,,,,       1
Northbridge,02140000,  27.3,  35.3,   1.3,  12.7,   5.3,   0.0,  14.7,   3.3,   0.0,   0.0,     150
Northeast Metropolitan Regional Vocational Technical,08530000,  14.4,  18.2,   0.3,  20.9,   0.7,   0.0,  32.9,   2.1,   3.1,   7.5,     292
Northern Berkshire Regional Vocational Technical,08510000,  16.8,  17.8,   1.9,  15.0,   5.6,   0.0,  36.4,   2.8,   0.9,   2.8,     107
Norton,02180000,  30.6,  43.4,   1.0,  14.3,   2.0,   0.0,   3.6,   1.5,   0.0,   3.6,     196
Norwell,02190000,  47.9,  42.0,   0.0,   2.4,   2.4,   0.6,   3.6,   0.0,   0.6,   0.6,     169
Norwood,02200000,  38.7,  31.1,   0.0,  10.1,   0.8,   0.0,  12.6,   3.8,   2.9,   0.0,     238
Old Colony Regional Vocational Technical,08550000,  13.7,  20.5,   0.9,  20.5,   0.9,   0.0,  32.5,   0.9,   0.0,  10.3,     117
