2017-18 Race/Ethnicity and Gender Staffing Report  - District - All,,,,,,,,,,,,
District Name,District Code,%_staff_aa,%_staff_asian,%_staff_hispanic,%_staff_white,%_staff_native,%_staff_islander,%_staff_multirace,%_staff_female,%_staff_male,staff_FTE,%_staff_notwhite
Holyoke,1370000,3.1,0.3,26.3,69.7,0.1,0.1,0.3,80.3,19.7,863.8,30.3
Holyoke Community Charter (District),4530000,5.2,1,33.1,60.7,0,0,0,70.1,29.9,96.6,39.3
Hopedale,1380000,0,0.6,1.1,98.3,0,0,0,86.8,13.2,180,1.7
Hopkinton,1390000,0.2,1.1,1.5,97.2,0,0,0,80.9,19.1,444.1,2.8
Hudson,1410000,0.2,0,0.2,99.5,0,0,0,85.3,14.7,439.6,0.5
Hull,1420000,0,0,0,100,0,0,0,79.6,20.4,148.9,0
Innovation Academy Charter (District),4350000,0.9,2.6,3.7,92.8,0,0,0,70.9,29.1,115.2,7.2
Ipswich,1440000,0.4,0,1.1,98.6,0,0,0,81.1,18.9,276.6,1.4
KIPP Academy Boston Charter School (District),4630000,29.6,1,17,49.4,1,0,2,70.4,29.6,99.8,50.6
KIPP Academy Lynn Charter (District),4290000,14.2,7,16.2,60.3,0,0,2.3,74,26,172.1,39.7
King Philip,6900000,0,0,0,100,0,0,0,72.4,27.6,230.5,0
Kingston,1450000,0,0,0,100,0,0,0,88.1,11.9,128.8,0
Lanesborough,1480000,0,0,0.5,99.5,0,0,0,86.4,13.6,37.9,0.5
Lawrence,1490000,1.4,0.9,22.5,74.8,0.3,0,0.1,78.5,21.5,"1,851.20",25.2
Lawrence Family Development Charter (District),4540000,1.2,1.2,23.9,73.8,0,0,0,88.8,11.2,84.9,26.2
Lee,1500000,0,1.6,2.3,96.1,0,0,0,87,13,128.6,3.9
Leicester,1510000,0,0.9,2.2,96.9,0,0,0,84.3,15.7,227.4,3.1
Lenox,1520000,0,0,0,100,0,0,0,77.3,22.7,138.6,0
Leominster,1530000,1.1,0.9,3.8,94.1,0,0,0,82.1,17.9,761.4,5.9
Leverett,1540000,0,0,0,100,0,0,0,84.6,15.4,32.1,0
Lexington,1550000,2.2,4,2.6,90.2,0,0,0.9,81.7,18.3,"1,092.80",9.8
Libertas Academy Charter School (District),35140000,0,7.7,53.8,38.5,0,0,0,61.5,38.5,13,61.5
Lincoln,1570000,2.9,1.3,2.2,92.7,0.4,0,0.4,88.6,11.4,234.2,7.3
Lincoln-Sudbury,6950000,2.1,2.5,0,93.9,0.5,0.5,0.5,62,38,209.1,6.1
Littleton,1580000,1.4,0.3,0.3,97,0,0.5,0.5,85.8,14.2,218.5,3
Longmeadow,1590000,0.5,0,1.4,98.1,0,0,0,83.7,16.3,423.5,1.9
Lowell,1600000,1.7,3.4,5.5,88.7,0.2,0.2,0.4,80.4,19.6,"1,955.60",11.3
Lowell Community Charter Public (District),4560000,3.4,11.1,11.7,72,0,0,1.7,76.9,23.1,116.7,28
Lowell Middlesex Academy Charter (District),4580000,0,10.8,5.4,83.8,0,0,0,78.4,21.6,18.5,16.2
Ludlow,1610000,0.7,0,0.9,98.1,0,0,0.2,83.1,16.9,426.7,1.9
Lunenburg,1620000,0,0,0.5,98.6,0.5,0.5,0,81.1,18.9,217.9,1.4
Lynn,1630000,2.7,1,8,86.9,0.1,0.1,1.2,78.8,21.2,"1,792.10",13.1
Lynnfield,1640000,0.3,0.7,1,97.7,0,0,0.3,85,15,299.4,2.3
MATCH Charter Public School (District),4690000,23.2,4.5,14.2,54.9,0.4,0,2.9,74.8,25.2,260.7,45.1
Ma Academy for Math and Science,4680000,0,0,0,88.9,0,0,11.1,66.7,33.3,9,11.1
Malden,1650000,3.9,3.4,2.3,89.2,0,0.1,1,83.5,16.5,790,10.8
Manchester Essex Regional,6980000,0,1.4,0.5,98.1,0,0,0,80.2,19.8,211.6,1.9
Mansfield,1670000,0.7,0.5,1.7,96.5,0,0,0.6,81.2,18.8,503.5,3.5
Marblehead,1680000,0.1,0.4,1.2,97.3,0,0.2,0.8,81.3,18.7,504.2,2.7
Marblehead Community Charter Public (District),4640000,0,0,0,100,0,0,0,60.5,39.5,34.4,0
Marion,1690000,2.9,1.5,0,95.6,0,0,0,91.8,8.2,68.5,4.4
Marlborough,1700000,0.7,1.2,4.2,93.8,0.1,0,0,81.7,18.3,722,6.2
Marshfield,1710000,0.2,0.5,0.7,98.3,0.4,0,0,83.5,16.5,608.3,1.7
Martha's Vineyard,7000000,3.2,0.5,3.2,90.8,0,0,2.4,65.9,34.1,126.4,9.2
Martha's Vineyard Charter (District),4660000,1.9,0,0,98.1,0,0,0,83.9,16.1,38.9,1.9
Martin Luther King Jr. Charter School of Excellence (District),4920000,21.1,0,13,62.1,0,0,3.7,85.2,14.8,53.7,37.9
Masconomet,7050000,0.4,1,0,98.6,0,0,0,65.2,34.8,235.4,1.4
Mashpee,1720000,0.4,0.4,0.4,98.3,0.4,0,0,81.3,18.7,240,1.7
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,0,4.5,0,95.5,0,0,0,66.3,33.7,44,4.5
Mattapoisett,1730000,0,1.3,0,98.7,0,0,0,91.6,8.4,80,1.3
Maynard,1740000,0,0.5,2.8,96.7,0,0,0,83.9,16.1,211.2,3.3
Medfield,1750000,0.3,1.4,0.9,97,0,0,0.5,81.7,18.3,370.1,3
Medford,1760000,0.6,1.8,1,96.6,0,0,0,78.7,21.3,617.6,3.4
Medway,1770000,0,1,0.7,98.3,0,0,0,82.1,17.9,287.8,1.7
Melrose,1780000,0.6,1.7,0.8,96.5,0,0,0.4,82.5,17.5,466.1,3.5
Mendon-Upton,7100000,0,0.2,2.2,97.6,0,0,0,84.1,15.9,309.3,2.4
Methuen,1810000,0.1,0.1,1.9,97.8,0,0,0,81.6,18.4,798.1,2.2
Middleborough,1820000,0.8,0.3,0,98.4,0.3,0,0.3,81.9,18.1,373.6,1.6
Middleton,1840000,0,0,0,100,0,0,0,92,8,130.9,0
Milford,1850000,0.2,0.5,3.4,95.8,0,0,0.2,81.1,18.9,588.1,4.2
Millbury,1860000,0.8,1.2,0,96.8,0,0,1.2,76.1,23.9,242.5,3.2
Millis,1870000,0,0.8,1.8,97.4,0,0,0,80.6,19.4,167.9,2.6
Milton,1890000,6.9,1.5,1.5,89.5,0.2,0.2,0.2,82.2,17.8,478.8,10.5
Minuteman Regional Vocational Technical,8300000,0,1.7,0.8,97.1,0,0.4,0,56.5,43.5,120.5,2.9
Mohawk Trail,7170000,0,0.5,0.5,98,0.5,0,0.5,84.6,15.4,203.4,2
Monomoy Regional School District,7120000,0,1,0.7,97.4,0,0,1,83.3,16.7,306,2.6
Monson,1910000,0,0,0.6,98.8,0,0.6,0,81.6,18.4,160,1.2
Montachusett Regional Vocational Technical,8320000,1.1,0,3.2,94.7,1.1,0,0,58.6,41.4,188.8,5.3
Mount Greylock,7150000,0,1.2,5.3,93.5,0,0,0,57.6,42.4,83.4,6.5
Mystic Valley Regional Charter (District),4700000,0.6,2.5,2.5,92.4,0,0,1.9,72.6,27.4,157,7.6
Nahant,1960000,0,0,0,100,0,0,0,87,13,21.6,0
Nantucket,1970000,0,0.8,1.9,96.5,0,0,0.8,81.4,18.6,243.5,3.5
Narragansett,7200000,0,0.6,0.6,98.9,0,0,0,82.5,17.5,179.2,1.1
Nashoba,7250000,0.2,1.3,0.4,97.8,0,0,0.2,80.9,19.1,450.8,2.2
Nashoba Valley Regional Vocational Technical,8520000,1.1,0,1.1,97.8,0,0,0,49.8,50.2,91.6,2.2
Natick,1980000,1,1.9,0.3,96.6,0.3,0,0,81.4,18.6,727.7,3.4
Nauset,6600000,0.4,0.4,1.1,96.7,0.4,0.4,0.4,75,25,226.5,3.3
Needham,1990000,2.3,2,1.3,93.4,0,0,1,79.1,20.9,771.9,6.6
Neighborhood House Charter (District),4440000,16.7,5.1,8.3,65.4,0,0,4.5,77.2,22.8,77.9,34.6
New Bedford,2010000,5.8,0.5,5.6,86.4,0.4,0.1,1.2,80.7,19.3,"1,654.50",13.6
New Heights Charter School of Brockton (District),35130000,25.9,0,2.5,71.6,0,0,0,63,37,40.5,28.4
New Salem-Wendell,7280000,0,0,2.7,93.7,0,0,3.6,94.7,5.3,37.2,6.3
Newburyport,2040000,0.6,0.6,0.3,98.5,0,0,0,83.6,16.4,329.6,1.5
Newton,2070000,3.2,4.4,3.3,87.6,0,0.1,1.4,77.4,22.6,"2,171.20",12.4
Norfolk,2080000,0,0.1,0,99.2,0,0.7,0,93.5,6.5,149.3,0.8
Norfolk County Agricultural,9150000,0,0,0,100,0,0,0,63.9,36.1,80.4,0
North Adams,2090000,0.4,0,0.4,99.3,0,0,0,81.2,18.8,279,0.7
North Andover,2110000,0.2,0.9,0.5,98.4,0,0,0,82,18,551.4,1.6
North Attleborough,2120000,1.3,0.4,1.3,96.9,0,0,0,83.5,16.5,504.5,3.1
North Brookfield,2150000,0,1.1,0,98.9,0,0,0,79.4,20.6,87.5,1.1
North Middlesex,7350000,0.2,0.2,0.9,98.2,0,0.2,0.2,82.5,17.5,433.8,1.8
North Reading,2170000,0,0.3,0.7,99,0,0,0,77.5,22.5,328.4,1
Northampton,2100000,1.7,0.7,6,91.2,0.2,0,0.2,79.2,20.8,422.3,8.8
Northampton-Smith Vocational Agricultural,4060000,0,0,4.4,95.6,0,0,0,52.2,47.8,113,4.4
Northboro-Southboro,7300000,0.2,0,2,97.1,0,0.5,0.2,72.9,27.1,186.6,2.9
Northborough,2130000,0.5,0.4,1.1,97.6,0,0.2,0.1,89.7,10.3,267.2,2.4
Northbridge,2140000,0,0,0.9,98.4,0,0.3,0.3,81.8,18.2,316.8,1.6
Northeast Metropolitan Regional Vocational Technical,8530000,2.4,1.2,3.5,92.9,0,0,0,50.5,49.5,167.3,7.1
Northern Berkshire Regional Vocational Technical,8510000,0,0,0,100,0,0,0,57.7,42.3,66.4,0
Norton,2180000,0,0,1.3,98.7,0,0,0,83.6,16.4,311.1,1.3
Norwell,2190000,0,0.4,0.4,99.3,0,0,0,79.6,20.4,273.9,0.7
Norwood,2200000,0.4,0.4,1.5,97.3,0.2,0.2,0,82.1,17.9,479.7,2.7
Oak Bluffs,2210000,1.8,0,1.5,94.4,0,0,2.3,92.1,7.9,86.7,5.6
