2018 Advanced Course Completion Report (District)  - Female,,,,,,,,,,
District Name,District Code,#_11_12_student_female,# _advanced_students_female,%_complete_advanced_female,%_ELA_female,%_math_female,%_science_tech_female,%_history_socialscience_female,%_arts_female,%_other_subjects_female
Fairhaven,00940000,         148,         107,  72.3,  21.6,  66.2,  15.5,   6.8,   0.0,   0.0
Fall River,00950000,         530,         222,  41.9,   7.5,  38.5,   8.1,   5.7,   2.1,   2.0
Falmouth,00960000,         202,         129,  63.9,  19.3,  62.4,  19.3,  35.1,   6.9,   8.0
Fitchburg,00970000,         370,         259,  70.0,  28.6,  50.8,  38.1,  35.7,  25.7,  25.0
Four Rivers Charter Public (District),04130000,          35,          22,  62.9,   0.0,  57.1,   2.9,   8.6,   5.7,   3.0
Foxborough,00990000,         175,         128,  73.1,  30.9,  49.1,  21.7,  44.0,   0.6,  11.0
Foxborough Regional Charter (District),04460000,          65,          58,  89.2,  41.5,  84.6,  30.8,  30.8,   3.1,  11.0
Framingham,01000000,         530,         404,  76.2,  18.9,  52.1,  28.3,  23.4,   1.7,   9.0
Francis W. Parker Charter Essential (District),04780000,          67,          57,  85.1,   0.0,  76.1,  55.2,   0.0,   0.0,   0.0
Franklin,01010000,         441,         439,  99.5,  36.1,  95.0,  47.2,  61.0,  24.9,  44.0
Franklin County Regional Vocational Technical,08180000,          74,          36,  48.6,  25.7,  39.2,  16.2,  14.9,   1.4,  19.0
