2017-18  Educator Evaluation Performance (District) - All Educators,,,,,,,,
District Name,District Code,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory
Mount Greylock,7150000,58,53,91.4,7.5,92.5,0,0
Mystic Valley Regional Charter (District),4700000,,,,,,,
Nahant,1960000,18,18,100,27.8,61.1,5.6,5.6
Nantucket,1970000,177,177,100,12.4,78.5,9,0
Narragansett,7200000,121,117,96.7,10.3,83.8,5.1,0.9
Nashoba,7250000,333,319,95.8,7.2,90.3,2.2,0.3
Nashoba Valley Regional Vocational Technical,8520000,84,83,98.8,20.5,71.1,8.4,0
Natick,1980000,521,501,96.2,11,86.6,2.4,0
Nauset,6600000,170,170,100,44.7,55.3,0,0
Needham,1990000,555,543,97.8,0.2,95.8,4.1,0
Neighborhood House Charter (District),4440000,,,,,,,
New Bedford,2010000,"1,140","1,086",95.3,8,82.6,8.9,0.5
New Heights Charter School of Brockton (District),35130000,,,,,,,
New Salem-Wendell,7280000,23,22,95.7,9.1,90.9,0,0
Newburyport,2040000,242,236,97.5,21.2,77.1,1.3,0.4
Newton,2070000,"1,418",653,46.1,8.4,89.4,2.1,0
Norfolk,2080000,92,88,95.7,44.3,53.4,2.3,0
Norfolk County Agricultural,9150000,70,67,95.7,10.4,89.6,0,0
North Adams,2090000,158,158,100,6.3,84.2,7.6,1.9
North Andover,2110000,371,371,100,13.2,85.7,1.1,0
North Attleborough,2120000,338,331,97.9,16,81.6,2.4,0
North Brookfield,2150000,56,54,96.4,7.4,83.3,9.3,0
North Middlesex,7350000,301,301,100,28.2,69.8,2,0
North Reading,2170000,244,240,98.4,5.8,92.5,1.7,0
Northampton,2100000,290,280,96.6,22.1,73.2,4.3,0.4
Northampton-Smith Vocational Agricultural,4060000,71,69,97.2,1.4,98.6,0,0
Northboro-Southboro,7300000,147,142,96.6,0,98.6,0.7,0.7
Northborough,2130000,166,158,95.2,0,98.1,1.9,0
Northbridge,2140000,203,197,97,20.8,73.1,5.6,0.5
Northeast Metropolitan Regional Vocational Technical,8530000,133,128,96.2,0.8,95.3,3.1,0.8
Northern Berkshire Regional Vocational Technical,8510000,55,55,100,29.1,67.3,1.8,1.8
Norton,2180000,226,224,99.1,8.5,90.2,1.3,0
Norwell,2190000,201,186,92.5,4.3,94.1,1.6,0
Norwood,2200000,341,333,97.7,10.2,88,1.8,0
Oak Bluffs,2210000,72,72,100,19.4,79.2,1.4,0
Old Colony Regional Vocational Technical,8550000,70,70,100,11.4,82.9,5.7,0
Old Rochester,7400000,111,111,100,20.7,77.5,1.8,0
Old Sturbridge Academy Charter Public School (District),35150000,,,,,,,
Orange,2230000,57,54,94.7,3.7,90.7,5.6,0
Orleans,2240000,34,34,100,94.1,5.9,0,0
Oxford,2260000,149,143,96,5.6,93,1.4,0
Palmer,2270000,140,140,100,5,90,5,0
Pathfinder Regional Vocational Technical,8600000,89,88,98.9,13.6,81.8,4.5,0
Paulo Freire Social Justice Charter School (District),35010000,,,,,,,
Peabody,2290000,519,519,100,12.3,87.3,0.4,0
Pelham,2300000,28,28,100,21.4,75,3.6,0
Pembroke,2310000,253,245,96.8,11,84.5,3.7,0.8
Pentucket,7450000,244,244,100,20.9,77.9,1.2,0
Petersham,2340000,20,14,70,21.4,71.4,7.1,0
Phoenix Academy Public Charter High School Springfield (District),35080000,20,20,100,,,,
Phoenix Charter Academy (District),4930000,24,24,100,0,37.5,62.5,0
Pioneer Charter School of Science (District),4940000,,,,,,,
Pioneer Charter School of Science II (PCSS-II) (District),35060000,,,,,,,
Pioneer Valley,7500000,100,75,75,17.3,68,8,6.7
Pioneer Valley Chinese Immersion Charter (District),4970000,,,,,,,
Pioneer Valley Performing Arts Charter Public (District),4790000,1,1,100,,,,
Pittsfield,2360000,562,493,87.7,2.8,89.2,7.5,0.4
Plainville,2380000,66,66,100,19.7,72.7,7.6,0
Plymouth,2390000,775,741,95.6,15.4,80.4,4.2,0
Plympton,2400000,28,28,100,7.1,92.9,0,0
Prospect Hill Academy Charter (District),4870000,,,,,,,
Provincetown,2420000,24,24,100,,,,
Quabbin,7530000,182,180,98.9,13.9,81.7,3.9,0.6
Quaboag Regional,7780000,125,113,90.4,40.7,57.5,1.8,0
Quincy,2430000,836,832,99.5,6.9,91.7,1.4,0
Ralph C Mahar,7550000,74,70,94.6,1.4,97.1,1.4,0
Randolph,2440000,314,303,96.5,16.2,77.2,5.9,0.7
Reading,2460000,384,378,98.4,16.4,81.2,2.4,0
Revere,2480000,658,649,98.6,8.6,84.3,6.9,0.2
Richmond,2490000,26,26,100,46.2,50,3.8,0
Rising Tide Charter Public (District),4830000,,,,,,,
River Valley Charter (District),4820000,,,,,,,
Rochester,2500000,49,48,98,6.3,89.6,4.2,0
Rockland,2510000,217,216,99.5,3.2,96.3,0.5,0
Rockport,2520000,112,103,92,,,,
Rowe,2530000,16,8,50,62.5,25,12.5,0
Roxbury Preparatory Charter (District),4840000,,,,,,,
Sabis International Charter (District),4410000,,,,,,,
Salem,2580000,497,486,97.8,5.1,88.1,6.6,0.2
Salem Academy Charter (District),4850000,,,,,,,
Sandwich,2610000,261,258,98.9,20.9,78.7,0.4,0
Saugus,2620000,236,231,97.9,8.2,90,1.3,0.4
Savoy,2630000,11,11,100,,,,
Scituate,2640000,297,287,96.6,17.8,81.5,0.7,0
Seekonk,2650000,188,188,100,11.7,85.6,1.6,1.1
Seven Hills Charter Public (District),4860000,36,36,100,36.1,61.1,2.8,0
Sharon,2660000,322,322,100,16.5,81.1,2.5,0
Shawsheen Valley Regional Vocational Technical,8710000,148,148,100,10.8,89.2,0,0
Sherborn,2690000,48,48,100,10.4,83.3,4.2,2.1
Shrewsbury,2710000,492,492,100,8.9,88.6,2.4,0
Shutesbury,2720000,23,22,95.7,13.6,86.4,0,0
Silver Hill Horace Mann Charter (District),4770000,45,42,93.3,14.3,81,2.4,2.4
Silver Lake,7600000,166,166,100,16.3,82.5,1.2,0
Sizer School: A North Central Charter Essential (District),4740000,,,,,,,
Somerset,2730000,156,133,85.3,6,93.2,0.8,0
Somerset Berkley Regional School District,7630000,98,90,91.8,2.2,96.7,1.1,0
Somerville,2740000,527,521,98.9,28,69.5,2.5,0
South Hadley,2780000,169,164,97,7.9,90.2,1.8,0
South Middlesex Regional Vocational Technical,8290000,97,96,99,1,90.6,8.3,0
South Shore Charter Public (District),4880000,94,59,62.8,13.6,74.6,11.9,0
South Shore Regional Vocational Technical,8730000,73,70,95.9,1.4,95.7,2.9,0
Southampton,2750000,51,47,92.2,4.3,93.6,2.1,0
Southborough,2760000,130,127,97.7,,,,
Southbridge,2770000,233,223,95.7,1.8,78,19.3,0.9
Southeastern Regional Vocational Technical,8720000,137,137,100,30.7,65.7,3.6,0
Southern Berkshire,7650000,93,93,100,35.5,63.4,1.1,0
