2017 Chapter 70 Foundation Budget and Net School Spending ,,,,,,,,
District Name,District Code,Required NSS,Actual NSS,Amount Over or Under Required,Actual NSS as % of Required,Foundation Budget,Public Actual NSS as % of Foundation,
Boston,00350000,"882,573,949.00","1,051,772,939.00","169,198,990.20",119,"802,914,847.60",131,
Bourne,00360000,"21,213,308.00","27,177,423.37","5,964,115.37",128,"19,315,319.80",141,
Boxford,00380000,"6,994,167.00","11,742,295.00","4,748,128.00",168,"6,361,983.30",185,
Boylston,00390000,"2,630,663.88","3,515,059.00","884,395.12",134,"2,586,705.91",136,
Braintree,00400000,"56,110,509.00","71,481,896.59","15,371,387.59",127,"56,110,509.38",127,
Brewster,00410000,"4,898,252.00","9,033,289.31","4,135,037.31",184,"4,710,846.56",192,
Bridgewater-Raynham,06250000,"52,785,538.00","61,212,041.34","8,426,503.34",116,"51,178,987.00",120,
Brimfield,00430000,"2,635,579.00","3,699,965.00","1,064,386.00",140,"2,386,674.08",155,
Bristol County Agricultural,09100000,"6,351,888.00","6,837,978.62","486,090.62",108,"6,281,807.00",109,
Bristol-Plymouth Regional Vocational Technical,08100000,"20,830,936.00","21,199,260.00","368,324.00",102,"20,622,505.00",103,
Brockton,00440000,"211,908,631.70","216,333,767.70","4,425,135.94",102,"202,933,234.50",107,
Brookfield,00450000,"2,466,359.00","3,179,300.00","712,941.00",129,"2,406,993.05",132,
Brookline,00460000,"73,409,265.00","125,433,587.40","52,024,322.39",171,"73,409,265.27",171,
Burlington,00480000,"34,804,971.23","63,884,419.84","29,079,448.61",184,"34,371,376.75",186,
Cambridge,00490000,"80,752,396.00","188,230,588.00","107,478,192.00",233,"80,655,732.60",233,
Canton,00500000,"31,711,055.00","46,820,925.38","15,109,870.38",148,"31,711,055.29",148,
Cape Cod Regional Vocational Technical,08150000,"10,326,176.00","13,234,193.70","2,908,017.70",128,"9,867,056.00",134,
Carlisle,00510000,"5,183,363.10","10,795,575.97","5,612,212.87",208,"5,096,190.49",212,
Carver,00520000,"18,230,394.00","21,697,047.36","3,466,653.36",119,"16,376,740.85",132,
Central Berkshire,06350000,"19,178,051.00","24,531,368.31","5,353,317.31",128,"16,389,265.00",150,
Chelmsford,00560000,"48,965,968.00","65,109,846.39","16,143,878.39",133,"46,800,513.15",139,
Chelsea,00570000,"87,449,274.71","89,209,877.75","1,760,603.04",102,"83,654,803.23",107,
Chesterfield-Goshen,06320000,"1,508,924.00","2,128,492.00","619,568.00",141,"1,239,669.00",172,
Chicopee,00610000,"89,953,191.00","94,514,186.66","4,560,995.66",105,"89,575,524.35",106,
Clarksburg,00630000,"2,395,885.00","2,660,841.00","264,956.00",111,"1,783,981.58",149,
Clinton,00640000,"21,678,199.00","24,853,224.73","3,175,025.73",115,"21,580,495.63",115,
Cohasset,00650000,"14,622,821.00","21,589,138.15","6,966,317.15",148,"14,622,821.15",148,
Concord,00670000,"18,255,708.00","36,628,928.13","18,373,220.13",201,"18,255,708.44",201,
Concord-Carlisle,06400000,"14,101,517.00","24,208,798.05","10,107,281.05",172,"14,101,517.00",172,
Conway,00680000,"1,639,540.00","2,262,395.94","622,855.94",138,"1,259,226.52",180,
Danvers,00710000,"36,149,723.44","50,448,860.64","14,299,137.19",140,"35,588,532.01",142,
Dartmouth,00720000,"39,599,047.00","44,047,388.09","4,448,341.09",111,"36,117,171.75",122,
Dedham,00730000,"26,985,663.84","45,744,367.43","18,758,703.58",170,"26,660,498.62",172,
Deerfield,00740000,"3,586,113.00","5,008,289.75","1,422,176.75",140,"2,985,824.25",168,
Dennis-Yarmouth,06450000,"37,476,957.00","51,252,689.54","13,775,732.54",137,"36,706,251.00",140,
Dighton-Rehoboth,06500000,"30,470,296.00","35,441,965.00","4,971,669.00",116,"29,000,399.00",122,
Douglas,00770000,"15,336,061.00","15,652,797.51","316,736.51",102,"13,394,369.66",117,
Dover,00780000,"4,275,017.00","10,241,591.00","5,966,574.00",240,"4,235,362.03",242,
Dover-Sherborn,06550000,"11,702,650.00","20,072,064.67","8,369,414.67",172,"11,702,650.00",172,
