2017-18 Class Size by Gender and Selected Population ,,,,,,,,
District Name,District Code,Number of Classes,Average Class Size,% Class Female,% Class Male,% Class ELL,% Class Disabled,% Class Low Income
Marlborough,1700000,"2,098",20.1,48.2,51.8,25,17.2,34.7
Marshfield,1710000,"1,463",18.6,48.6,51.4,1.1,16.6,11
Martha's Vineyard,7000000,736,11.8,48.8,51,10.2,17.8,20.7
Martha's Vineyard Charter (District),4660000,66,16.1,54.8,45.2,4.8,26.1,33
Martin Luther King Jr. Charter School of Excellence (District),4920000,142,20.2,52,48,20.9,21.2,73.5
Masconomet,7050000,900,17.9,51.3,48.6,0.4,17.3,5.4
Mashpee,1720000,"1,016",16.7,48.8,51.2,2.6,16,29.3
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,138,28.3,53.5,46.5,0.2,23,51.2
Mattapoisett,1730000,229,16.9,47.8,52.2,0.7,16.1,15.2
Maynard,1740000,645,17.7,49.6,50.4,5,17.6,17
Medfield,1750000,"1,603",18.7,49.2,50.8,1.2,11.5,4.5
Medford,1760000,"2,156",15.2,48.7,51.3,12.2,19.3,28.9
Medway,1770000,"1,013",18.5,50.1,49.9,1.3,16.4,9.6
Melrose,1780000,"1,623",20,50.7,49.3,4.4,14.1,10.8
Mendon-Upton,7100000,953,17.8,50.2,49.8,1.1,14.8,8.8
Methuen,1810000,"2,665",19.6,47.4,52.6,9.5,16.3,33.4
Middleborough,1820000,"1,546",19.8,49,51,0.9,18.1,27.7
Middleton,1840000,299,14.5,49.6,50.4,0.6,18,8.1
Milford,1850000,"1,860",18.7,48.6,51.4,17,14.9,32.3
Millbury,1860000,812,18.5,50.2,49.8,3.5,16.4,24.7
Millis,1870000,612,17.2,49.2,50.8,1.1,12.9,10.8
Milton,1890000,"1,307",18.8,49.3,50.7,2,13.8,8.9
Minuteman Regional Vocational Technical,8300000,557,10.7,36.5,63.3,1.5,50.2,20.4
Mohawk Trail,7170000,449,12.4,49.6,50.4,0.2,23,33.5
Monomoy Regional School District,7120000,"1,301",15.2,49.7,50.3,4.6,15.7,26.8
Monson,1910000,537,16.3,49.8,50.2,0.7,18.7,26.5
Montachusett Regional Vocational Technical,8320000,799,18.1,46.8,52.9,0.6,14.9,22.1
Mount Greylock,7150000,333,13.1,51.7,48.3,0.2,13.4,13.4
Mystic Valley Regional Charter (District),4700000,754,23.8,50,50,2.5,13.2,17.9
Nahant,1960000,57,17.6,51.7,48.3,0,6,18.8
Nantucket,1970000,897,18.2,48.1,51.9,19,14.4,21.6
Narragansett,7200000,607,19.1,46.7,53.3,0.3,18,27.8
Nashoba,7250000,"1,459",18.2,49.7,50.3,1.7,15.5,7.2
Nashoba Valley Regional Vocational Technical,8520000,380,13.7,40.4,59.3,0.4,36.2,17.4
Natick,1980000,"2,581",19,49.1,50.9,3.2,14.1,9
Nauset,6600000,942,16.3,52.3,47.6,2,13.9,18.3
Needham,1990000,"2,283",18.5,50.2,49.8,2.9,17,5.1
Neighborhood House Charter (District),4440000,156,28.7,49.5,50.5,6.9,17.4,38.2
New Bedford,2010000,"6,021",17.9,47.4,52.6,30.4,20.8,65.1
New Heights Charter School of Brockton (District),35130000,158,22.1,50,50,10.3,10.3,41.3
New Salem-Wendell,7280000,24,18.7,50.3,49.7,0,17.6,35.2
Newburyport,2040000,"1,247",18.2,50.2,49.8,1.5,16.6,9.2
Newton,2070000,"5,722",18.5,48.9,51,6.7,19.1,8.6
Norfolk,2080000,242,20.9,45.7,54.3,2.4,18.1,5.2
Norfolk County Agricultural,9150000,462,16.1,69.3,30.7,0.2,20,14.2
North Adams,2090000,635,16.1,50.9,49.1,1.1,24.1,58.5
North Andover,2110000,"2,670",21,49.3,50.7,2.2,14,14.2
North Attleborough,2120000,"1,856",18.4,49,51,2.9,15.9,15.3
North Brookfield,2150000,172,16,48.2,51.8,0,23.4,33.5
North Middlesex,7350000,"1,682",19.3,49.3,50.7,1,21.8,18.4
North Reading,2170000,"1,237",18.7,49.9,50.1,0.9,17.7,7.9
Northampton,2100000,"1,285",16.1,49.5,50.5,4,21.4,25.6
Northampton-Smith Vocational Agricultural,4060000,291,13.7,41.8,58.2,1.2,37.7,32.5
Northboro-Southboro,7300000,793,15.6,51.7,48.3,1.6,13.4,5.7
Northborough,2130000,605,18.4,47.7,52.3,4.5,20.2,10
Northbridge,2140000,"1,007",18.7,48.5,51.5,2.1,14.9,27.3
Northeast Metropolitan Regional Vocational Technical,8530000,894,19.2,46.6,53.4,3.8,21.5,33.6
Northern Berkshire Regional Vocational Technical,8510000,411,13.7,36.6,63.4,0,17.1,31.2
Norton,2180000,"1,068",18.9,49.1,50.9,1.1,18.1,17.2
Norwell,2190000,"1,041",17.6,48,52,0.1,15.1,3.5
Norwood,2200000,"1,294",17,49.3,50.7,10.4,20.8,23.6
Oak Bluffs,2210000,203,14.9,50.6,49.4,18.8,23.4,24.4
Old Colony Regional Vocational Technical,8550000,276,17.7,37.5,62.5,0.2,24.3,15.4
Old Rochester,7400000,646,18.5,50.1,49.9,0,12.2,11.5
Old Sturbridge Academy Charter Public School (District),35150000,32,19.9,46.2,53.8,5.7,11.4,27.8
Orange,2230000,276,20.1,46,54,1.2,27.8,53.7
Orleans,2240000,154,17.4,47.8,52.2,7.9,20.2,23.7
Oxford,2260000,679,20.3,47.8,52.2,0.4,15.7,31.7
Palmer,2270000,844,15,49.7,50.2,2.3,19.9,39.3
Pathfinder Regional Vocational Technical,8600000,493,12.1,37.5,62.5,0,26.2,35.2
Paulo Freire Social Justice Charter School (District),35010000,177,14.2,54.7,45.3,13.3,14,72.3
Peabody,2290000,"2,748",18.1,49.1,50.9,7.2,20.3,28.3
Pelham,2300000,42,17.8,48,52,0.8,26,20.5
Pembroke,2310000,"1,294",17.7,48.2,51.6,0.6,13.8,11.7
Pentucket,7450000,"1,061",16.6,47,53,0.2,19.7,11.1
Petersham,2340000,48,16.7,48.7,51.3,0.9,26.1,20.9
Phoenix Academy Public Charter High School Springfield (District),35080000,42,17.7,47.4,52.6,27.3,24.7,80.5
Phoenix Charter Academy (District),4930000,51,15.7,44.4,55.6,60.9,9.5,47.9
Pioneer Charter School of Science (District),4940000,276,19.5,52.6,47.4,26.2,8.7,36.8
Pioneer Charter School of Science II (PCSS-II) (District),35060000,167,18.1,53,47,23.2,11.6,25.1
Pioneer Valley,7500000,453,13,50.3,49.7,0.3,17.4,23.2
Pioneer Valley Chinese Immersion Charter (District),4970000,265,17.2,52.5,47.3,2.8,5.7,14
Pioneer Valley Performing Arts Charter Public (District),4790000,367,12.7,69.3,30.4,0.5,22.5,21.3
Pittsfield,2360000,"2,375",15.5,49.1,50.9,4.3,22.6,49.6
Plainville,2380000,173,19.4,47.9,52.1,3.9,17.6,15.9
Plymouth,2390000,"4,854",17.2,47.8,52.2,1.3,19.3,23.2
Plympton,2400000,104,14.4,49.8,50.2,0,15.3,17.7
Prospect Hill Academy Charter (District),4870000,502,20.3,48.8,51.2,10.7,16,38.3
Provincetown,2420000,98,12.1,51.7,48.3,17.5,22.5,30
Quabbin,7530000,946,19.9,50.6,49.4,0.1,18.5,24.5
Quaboag Regional,7780000,598,17.8,49.1,50.8,1.8,17.6,35.3
Quincy,2430000,"4,916",16.4,47.8,52.2,14.6,18.2,34.5
Ralph C Mahar,7550000,624,14.1,52.3,47.7,0.9,15.3,36.5
Randolph,2440000,"1,133",18.1,45.4,54.6,17.7,22.5,45.4
Reading,2460000,"1,446",19.8,47.8,52.2,1,17.2,7.9
Revere,2480000,"4,870",20.2,48.8,51.2,23.4,15.1,45.1
Richmond,2490000,118,17.9,53,47,0,7.7,18
Rising Tide Charter Public (District),4830000,331,18.4,50,50,0,17.9,8.7
River Valley Charter (District),4820000,116,15.3,58.9,41.1,0,16.7,7
Rochester,2500000,202,19.5,46.5,53.5,0.6,18.3,12.6
Rockland,2510000,"1,040",18.1,49.3,50.7,6.1,16.4,32.6
Rockport,2520000,530,15.8,47.6,52.4,1.2,19.6,16.2
Rowe,2530000,25,14,50,50,0,22.1,27.9
Roxbury Preparatory Charter (District),4840000,338,24.6,49.7,50.3,22.2,18.6,54.7
Sabis International Charter (District),4410000,537,25.6,49.9,50.1,4,12.4,35.4
Salem,2580000,"1,987",15.4,47.8,52.1,13.4,23.1,47.4
Salem Academy Charter (District),4850000,254,18.5,54.1,45.9,4.1,14.5,30.3
Sandwich,2610000,"1,314",18.3,50.4,49.6,1.2,19,14.5
Saugus,2620000,"1,385",17.2,48.6,51.4,6.5,16.4,28.1
Savoy,2630000,58,8.1,50,50,0,15.5,46.6
Scituate,2640000,"1,428",19.1,49.4,50.6,0.7,13,9.7
Seekonk,2650000,839,17.5,50.2,49.8,3.5,17.1,14.1
