2017-18 Enrollment By Race/Gender Report (District) ,,,,,,,,,,,
District Name,District Code,enroll_aa,enroll_asian,enroll_hispanic,enroll_white,enroll_native,enroll_islander,enroll_multirace,%_enroll_male,%_enroll_female,enroll_not_white
Middleborough,1820000,2.6,1,3.6,88.4,0.7,0,3.8,50.8,49.2,11.6
Middleton,1840000,0.6,4.5,2.8,88.2,0.3,0,3.6,50.9,49.1,11.8
Milford,1850000,2.9,2.4,26.9,62.9,1.7,0.1,3.1,51.7,48.3,37.1
Millbury,1860000,2.3,2.7,7.3,83.2,0.1,0,4.5,50.1,49.9,16.8
Millis,1870000,1.5,2.2,7.7,85.1,0.3,0.1,3.1,50.5,49.5,14.9
Milton,1890000,15,6.7,4.4,69.3,0.1,0.2,4.3,50.9,49,30.7
Minuteman Regional Vocational Technical,8300000,4.1,4.3,9.1,79.4,0.2,0,3,63,36.6,20.6
Mohawk Trail,7170000,0.3,0.6,4.6,90.8,0.2,0.1,3.2,50.4,49.6,9.2
Monomoy Regional School District,7120000,6.4,1.1,6.4,80.5,0.6,0.2,4.9,50.5,49.5,19.5
Monson,1910000,0.9,0.9,2.7,92.6,0.2,0.6,2.2,50.4,49.6,7.4
Montachusett Regional Vocational Technical,8320000,1.7,1.1,14.3,79.2,0.1,0,3.6,52.5,47.1,20.8
Mount Greylock,7150000,1.1,1.9,2.6,90.1,0,0,4.3,48.1,51.9,9.9
Mystic Valley Regional Charter (District),4700000,17.3,19.6,9.3,49.3,0.3,0,4.3,49.9,50.1,50.7
Nahant,1960000,0,0.7,4.8,93.9,0,0,0.7,49,51,6.1
Nantucket,1970000,10.6,1.5,30.5,53.7,0.1,0.1,3.5,51.1,48.9,46.3
Narragansett,7200000,1,0.2,6.6,88.8,0.1,0.1,3.1,53,47,11.2
Nashoba,7250000,1,3.2,4.7,88.1,0.1,0.1,2.8,50,50,11.9
Nashoba Valley Regional Vocational Technical,8520000,1.1,1.6,5,89.4,0.6,0,2.3,58.3,41.7,10.6
Natick,1980000,2.5,9.6,5.8,76.7,0.1,0.1,5.2,50.8,49.2,23.3
Nauset,6600000,4.6,2.7,3.8,85.2,0.1,0.1,3.3,47.6,52.4,14.8
Needham,1990000,2.9,8.9,5.6,77.5,0.1,0,4.9,49.7,50.2,22.5
Neighborhood House Charter (District),4440000,52.9,2.4,17.1,21.2,0.8,0,5.6,50.3,49.7,78.8
New Bedford,2010000,12.4,1,39.4,41.3,0.4,0.1,5.4,52.5,47.5,58.7
New Heights Charter School of Brockton (District),35130000,88.4,1.2,8.1,1.7,0.2,0,0.5,49.8,50.2,98.3
New Salem-Wendell,7280000,0,2,5.3,87.5,0,0,5.3,48.7,51.3,12.5
Newburyport,2040000,1.1,1.7,3.4,91.8,0,0,1.9,50,50,8.2
Newton,2070000,4.9,18.3,7.6,62.9,0.1,0.1,6.2,50.9,49.1,37.1
Norfolk,2080000,0.8,2.5,3.2,90.3,0,0,3.2,54.6,45.4,9.7
Norfolk County Agricultural,9150000,1.3,1.5,3.3,90.2,0.7,0,3.1,30.7,69.3,9.8
North Adams,2090000,3.2,0.3,6.3,83.2,0.2,0.1,6.7,48.9,51.1,16.8
North Andover,2110000,3.1,8.2,10.2,75.4,0.3,0.2,2.7,50.7,49.3,24.6
North Attleborough,2120000,3,6.4,5,81.5,0.2,0.1,3.9,50.8,49.2,18.5
North Brookfield,2150000,0.9,0.4,4.5,91.2,0,0,3.1,52.1,47.9,8.8
North Middlesex,7350000,1.5,1.1,3.7,90.2,0.1,0,3.3,50.8,49.2,9.8
