2017-18 Selected Populations Report (District) ,,,,,,,,,,,
District Name,District Code,enroll_first_not_english,%_enroll_first_not_english,enroll_ELL,%_enroll_ELL,enroll_disabilities,%_enroll_disabilities,enroll_highneeds,%_enroll_high_needs,enroll_low_econ,%_enroll_low_econ
Hatfield,1270000,1,0.2,1,0.2,85,19.3,140,31.8,71,16.3
Haverhill,1280000,1240,16.5,765,10.2,1754,23.2,4539,60,3530,47.1
Hawlemont,6850000,0,0,0,0,32,19.5,100,61,85,52.1
Helen Y. Davis Leadership Academy Charter Public (District),4190000,21,9.8,8,3.7,62,29,162,75.7,127,59.3
Hill View Montessori Charter Public (District),4550000,9,3,7,2.3,45,14.9,95,31.4,55,18.2
Hilltown Cooperative Charter Public (District),4500000,1,0.5,0,0,41,18.8,60,27.5,35,16.1
Hingham,1310000,54,1.3,15,0.3,531,12.2,713,16.4,230,5.4
Holbrook,1330000,194,16,86,7.1,267,21.2,623,49.6,388,31.9
Holland,1350000,0,0,0,0,35,15,84,36.1,64,27.5
Holliston,1360000,253,8.7,69,2.4,467,15.9,662,22.6,196,6.7
Holyoke,1370000,2272,42.9,1186,22.4,1240,23.1,4430,82.4,4101,77.5
Holyoke Community Charter (District),4530000,184,26.2,108,15.4,123,17.5,540,76.9,489,69.7
Hopedale,1380000,64,5.6,17,1.5,229,19.9,326,28.4,133,11.7
Hopkinton,1390000,222,6.3,129,3.7,442,12.5,677,19.1,157,4.5
Hudson,1410000,533,20.2,244,9.3,455,17,1025,38.2,581,22.1
Hull,1420000,4,0.4,2,0.2,203,22.2,380,41.5,262,29.4
Innovation Academy Charter (District),4350000,46,5.7,16,2,152,19,237,29.6,79,9.9
Ipswich,1440000,82,4.7,43,2.5,290,16.5,487,27.7,246,14.2
King Philip,6900000,45,2.2,11,0.5,312,14.9,438,20.9,176,8.6
Kingston,1450000,21,2.1,17,1.7,185,17.5,343,32.5,185,18.1
KIPP Academy Boston Charter School (District),4630000,297,53.2,168,30.1,110,19.7,463,83,367,65.8
KIPP Academy Lynn Charter (District),4290000,974,72.9,371,27.8,172,12.9,928,69.5,687,51.4
Lanesborough,1480000,1,0.5,0,0,43,20.5,78,37.1,53,25.2
Lawrence,1490000,9868,71.3,4709,34,2329,16.7,11589,82.9,8875,64.1
Lawrence Family Development Charter (District),4540000,595,80.7,212,28.8,46,6.2,543,73.7,440,59.7
Lee,1500000,40,5.8,25,3.6,79,11.4,313,45.1,256,37
Leicester,1510000,96,6.1,42,2.7,273,17.1,598,37.4,396,25.2
Lenox,1520000,57,7.5,20,2.6,71,9.4,192,25.4,132,17.5
Leominster,1530000,1341,22.3,619,10.3,1401,23,3234,53.2,2310,38.5
Leverett,1540000,1,0.8,0,0,18,14.4,32,25.6,24,19.2
Lexington,1550000,2076,28.7,553,7.6,980,13.3,1954,26.6,416,5.7
Libertas Academy Charter School (District),35140000,40,44.4,39,43.3,16,17.8,76,84.4,71,78.9
Lincoln,1570000,85,7.1,50,4.2,256,21.1,347,28.6,68,5.7
Lincoln-Sudbury,6950000,52,3.4,4,0.3,295,18.6,362,22.9,90,5.9
Littleton,1580000,67,4,29,1.7,317,18.7,439,25.9,137,8.3
Longmeadow,1590000,139,4.8,25,0.9,540,18.5,705,24.2,199,6.9
Lowell,1600000,4210,29.2,3496,24.2,2420,16.6,10409,71.3,8067,55.9
Lowell Community Charter Public (District),4560000,595,73.1,431,52.9,124,15.2,646,79.4,395,48.5
Lowell Middlesex Academy Charter (District),4580000,6,6.6,4,4.4,26,28.6,68,74.7,63,69.2
Ludlow,1610000,222,8.4,69,2.6,427,16,996,37.3,701,26.5
Lunenburg,1620000,57,3.5,35,2.1,268,16.2,478,28.9,264,16.1
Lynn,1630000,8185,52.7,3383,21.8,2516,16,11236,71.6,9098,58.6
Lynnfield,1640000,147,6.6,24,1.1,388,17.3,537,24,169,7.6
Ma Academy for Math and Science,4680000,0,0,0,0,0,0,4,4.2,4,4.2
Malden,1650000,3613,55.2,1318,20.2,1086,16.4,4332,65.3,2967,45.4
Manchester Essex Regional,6980000,28,2,10,0.7,136,9.7,250,17.8,112,8.1
Mansfield,1670000,215,5.6,83,2.2,590,15.2,1018,26.2,535,13.9
Marblehead,1680000,199,6.4,127,4.1,591,18.9,856,27.4,301,9.7
Marblehead Community Charter Public (District),4640000,1,0.4,1,0.4,54,23.6,76,33.2,24,10.5
Marion,1690000,6,1.3,2,0.4,101,21.9,176,38.1,104,22.9
Marlborough,1700000,2139,46.8,1103,24.1,798,17.2,2706,58.4,1636,35.8
Marshfield,1710000,102,2.4,46,1.1,707,16.7,1108,26.2,524,12.5
Martha's Vineyard,7000000,97,15.3,62,9.8,130,20.2,274,42.7,138,21.8
Martha's Vineyard Charter (District),4660000,11,6,9,4.9,48,26.1,99,53.8,54,29.3
Martin Luther King Jr. Charter School of Excellence (District),4920000,78,21.6,73,20.2,74,20.5,287,79.5,258,71.5
Masconomet,7050000,22,1.2,7,0.4,341,18.6,430,23.4,113,6.3
Mashpee,1720000,79,4.9,33,2,273,16.6,696,42.4,514,31.7
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,1,0.2,1,0.2,130,22.2,359,61.4,309,52.8
MATCH Charter Public School (District),4690000,750,61.2,374,30.5,260,21.2,955,78,728,59.4
Mattapoisett,1730000,7,1.6,3,0.7,68,14.9,126,27.7,78,17.6
Maynard,1740000,129,9.2,70,5,267,18.8,485,34.2,256,18.3
Medfield,1750000,84,3.2,34,1.3,322,12.1,445,16.8,132,5
Medford,1760000,1021,23.6,460,10.6,818,18.7,2117,48.5,1347,31.1
Medway,1770000,33,1.5,25,1.1,367,15.9,546,23.7,223,9.8
Melrose,1780000,432,11.1,168,4.3,544,13.8,1023,26,465,11.9
Mendon-Upton,7100000,69,3.1,19,0.8,332,14.5,491,21.4,194,8.6
Methuen,1810000,1823,26.3,612,8.8,1257,17.8,3433,48.6,2410,34.8
Middleborough,1820000,50,1.7,31,1.1,552,18.5,1202,40.4,851,28.9
Middleton,1840000,25,3.6,6,0.9,125,18.1,175,25.3,61,8.9
Milford,1850000,1260,30.1,656,15.7,620,14.7,2083,49.3,1404,33.5
Millbury,1860000,121,7,58,3.3,309,17.6,708,40.4,454,26.2
Millis,1870000,23,1.8,16,1.2,176,13.4,308,23.4,152,11.7
Milton,1890000,345,8.2,82,1.9,657,15.4,1060,24.9,441,10.5
Minuteman Regional Vocational Technical,8300000,32,5.9,8,1.5,273,50.7,331,61.5,128,23.8
Mohawk Trail,7170000,4,0.4,2,0.2,192,20.5,430,46,322,34.8
Monomoy Regional School District,7120000,164,8.8,78,4.2,295,15.7,753,40,521,27.9
Monson,1910000,24,2.6,7,0.8,140,14.9,321,34.1,231,24.9
Montachusett Regional Vocational Technical,8320000,58,4.1,9,0.6,215,15.1,522,36.7,370,26
Mount Greylock,7150000,3,0.6,1,0.2,77,14.3,136,25.2,87,16.2
Mystic Valley Regional Charter (District),4700000,608,38.7,39,2.5,200,12.7,492,31.3,301,19.2
Nahant,1960000,1,0.7,0,0,9,6.1,37,25.2,29,19.7
Nantucket,1970000,517,31.9,306,18.9,220,13.5,723,44.4,409,25.3
Narragansett,7200000,10,0.7,4,0.3,263,18.1,563,38.8,411,28.7
Nashoba,7250000,88,2.6,65,1.9,541,16,750,22.2,254,7.6
Nashoba Valley Regional Vocational Technical,8520000,8,1.1,3,0.4,268,38.4,357,51.1,141,20.2
Natick,1980000,556,10.1,169,3.1,789,14.2,1309,23.5,518,9.4
Nauset,6600000,50,3.4,25,1.7,230,15.5,502,33.9,315,21.5
Needham,1990000,545,9.6,170,3,962,16.8,1327,23.1,317,5.6
Neighborhood House Charter (District),4440000,121,22.7,43,8.1,83,15.6,285,53.5,206,38.6
New Bedford,2010000,4859,38.5,3766,29.8,2714,21.3,10170,79.9,8509,67.4
New Heights Charter School of Brockton (District),35130000,48,11.4,44,10.4,46,10.9,217,51.4,166,39.3
New Salem-Wendell,7280000,0,0,0,0,25,16.4,65,42.8,53,34.9
Newburyport,2040000,87,3.8,28,1.2,372,16.2,555,24.2,225,9.9
Newton,2070000,3217,24.9,907,7,2554,19.6,4280,32.8,1207,9.3
Norfolk,2080000,35,3.7,20,2.1,142,14.9,207,21.7,57,6
Norfolk County Agricultural,9150000,2,0.4,1,0.2,116,21.1,186,33.8,86,15.6
North Adams,2090000,15,1,15,1,372,25.6,974,67,845,58.7
North Andover,2110000,396,8.2,99,2.1,786,16.1,1371,28.1,694,14.4
North Attleborough,2120000,306,7.1,150,3.5,687,15.9,1289,29.9,687,16
North Brookfield,2150000,1,0.2,0,0,115,20.6,245,43.8,185,33.2
North Middlesex,7350000,48,1.6,27,0.9,706,22.5,1128,36,593,19.3
North Reading,2170000,32,1.3,19,0.8,477,18.9,635,25.2,221,8.9
Northampton,2100000,244,9.2,95,3.6,576,21.4,1055,39.1,697,26.2
Northampton-Smith Vocational Agricultural,4060000,21,4.2,5,1,190,38.2,284,57,172,34.5
Northboro-Southboro,7300000,158,10.7,21,1.4,212,14.3,317,21.4,106,7.2
Northborough,2130000,244,14.8,76,4.6,308,18.5,506,30.4,184,11.2
Northbridge,2140000,90,4.1,53,2.4,382,17.3,847,38.4,599,27.5
Northeast Metropolitan Regional Vocational Technical,8530000,215,17.3,49,3.9,270,21.7,640,51.4,446,35.8
Northern Berkshire Regional Vocational Technical,8510000,0,0,0,0,90,18.4,211,43.2,168,34.4
Norton,2180000,47,1.9,27,1.1,460,18.3,784,31.2,440,17.8
Norwell,2190000,31,1.4,3,0.1,348,15.7,413,18.6,87,4
Norwood,2200000,726,21.3,340,10,727,21,1542,44.5,850,25
Oak Bluffs,2210000,93,21.8,79,18.5,90,21.1,215,50.5,116,27.2
Old Colony Regional Vocational Technical,8550000,1,0.2,1,0.2,135,25.1,203,37.7,103,19.1
Old Rochester,7400000,16,1.3,0,0,162,12.9,268,21.3,152,12.1
Old Sturbridge Academy Charter Public School (District),35150000,9,5.6,9,5.6,15,9.4,64,40,44,27.5
Orange,2230000,10,1.7,9,1.5,158,26.5,389,65.2,334,56.4
Orleans,2240000,16,7.2,15,6.7,42,18.8,93,41.7,61,27.4
Oxford,2260000,4,0.2,4,0.2,275,16.1,722,42.2,573,34
Palmer,2270000,49,3.5,35,2.5,305,21.5,752,53.1,583,41.6
Pathfinder Regional Vocational Technical,8600000,1,0.2,0,0,173,28.2,334,54.4,233,37.9
Paulo Freire Social Justice Charter School (District),35010000,81,30,35,13,44,16.3,214,79.3,197,73
Peabody,2290000,617,10.4,400,6.8,1162,19.4,2797,46.7,1839,31.1
Pelham,2300000,3,2.4,0,0,29,22.8,43,33.9,24,18.9
Pembroke,2310000,35,1.2,18,0.6,391,13.4,686,23.5,371,12.8
Pentucket,7450000,9,0.4,5,0.2,501,20,683,27.3,290,11.7
Petersham,2340000,1,0.9,1,0.9,28,23.9,52,44.4,31,26.7
Phoenix Academy Public Charter High School Springfield (District),35080000,38,18.7,24,11.8,65,32,185,91.1,174,85.7
Phoenix Charter Academy (District),4930000,146,74.1,120,60.9,18,9.1,175,88.8,85,43.1
Pioneer Charter School of Science (District),4940000,524,78.4,179,26.8,59,8.8,422,63.2,266,39.8
Pioneer Charter School of Science II (PCSS-II) (District),35060000,182,51,85,23.8,43,12,200,56,105,29.4
Pioneer Valley,7500000,6,0.8,1,0.1,149,18.6,293,36.6,183,23
Pioneer Valley Chinese Immersion Charter (District),4970000,82,16.6,14,2.8,29,5.9,114,23.1,79,16
Pioneer Valley Performing Arts Charter Public (District),4790000,2,0.5,2,0.5,81,20.2,143,35.7,88,21.9
Pittsfield,2360000,391,7.2,223,4.1,1226,22.2,3357,60.9,2825,51.7
Plainville,2380000,52,7.4,30,4.2,110,15.5,218,30.7,116,16.4
Plymouth,2390000,261,3.5,98,1.3,1482,19.5,2814,37.1,1802,24
Plympton,2400000,0,0,0,0,35,16.7,75,35.7,44,21.3
Prospect Hill Academy Charter (District),4870000,529,46.7,135,11.9,156,13.8,637,56.3,483,42.7
Provincetown,2420000,24,20,21,17.5,22,18.2,71,58.7,41,34.2
Quabbin,7530000,22,1,6,0.3,463,20.4,885,38.9,596,26.8
Quaboag Regional,7780000,41,3,25,1.8,219,16.1,613,45.1,488,36.1
Quincy,2430000,3715,39.5,1509,16,1751,18.3,5425,56.8,3392,36
Ralph C Mahar,7550000,14,1.8,12,1.6,129,16.4,375,47.7,305,40.1
Randolph,2440000,1058,37.5,443,15.7,669,23.2,1881,65.3,1293,45.8
Reading,2460000,100,2.4,43,1,714,16.7,1006,23.5,361,8.6
Revere,2480000,4687,62.1,1724,22.8,1218,15.8,5176,67.3,3751,49.7
Richmond,2490000,0,0,0,0,9,5,42,23.5,34,19
Rising Tide Charter Public (District),4830000,4,0.6,0,0,105,15.9,155,23.5,65,9.8
River Valley Charter (District),4820000,5,1.7,0,0,41,14.2,60,20.8,22,7.6
Rochester,2500000,3,0.6,2,0.4,91,18.1,143,28.5,65,13.1
Rockland,2510000,211,9.6,115,5.2,393,17.7,1003,45.2,716,32.6
Rockport,2520000,13,1.4,11,1.2,196,21.2,323,35,163,18
Rowe,2530000,0,0,0,0,16,22.5,33,46.5,22,31
Roxbury Preparatory Charter (District),4840000,304,21.4,304,21.4,247,17.4,1033,72.6,815,57.3
Sabis International Charter (District),4410000,93,5.9,93,5.9,209,13.3,766,48.7,602,38.2
